x,Curve1
-1.32957,1.28597
-1.28619,1.26292
-1.24064,1.24141
-1.1951,1.2199
-1.18209,1.21375
-1.13655,1.19224
-1.00317,1.12924
-0.95871,1.10773
-0.91968,1.09044
-0.8942,1.07853
-0.85896,1.06317
-0.81343,1.04319
-0.76572,1.02168
-0.72235,1.00171
-0.67681,0.9802
-0.62911,0.96022
-0.58358,0.94025
-0.53804,0.92027
-0.49251,0.9003
-0.44481,0.88032
-0.39928,0.86035
-0.35374,0.84037
-0.30604,0.8204
-0.26757,0.80542
-0.22367,0.78814
-0.14454,0.75625
-0.02693,0.70786
0.05329,0.67444
0.11236,0.65139
0.2381,0.60069
0.28578,0.58379
0.3378,0.56382
0.38332,0.54692
0.45919,0.51772
0.50688,0.49929
0.5589,0.48085
0.60658,0.46241
0.65427,0.44552
0.69545,0.43015
0.74314,0.41171
0.77781,0.40096
0.82549,0.38406
0.93167,0.35026
0.97935,0.33337
1.00751,0.32569
1.05735,0.31032
1.10718,0.29496
1.15701,0.28114
1.22634,0.26117
1.27617,0.24734
1.32816,0.23352
1.37798,0.21969
1.42997,0.20741
1.47979,0.19358
1.53178,0.1813
1.58484,0.16939
1.62979,0.15749
1.67094,0.14828
1.72453,0.13791
1.75755,0.13292
1.79002,0.12793
1.83169,0.12256
1.89826,0.11374
1.94533,0.10913
1.98916,0.10415
2.02108,0.10147
2.05084,0.09878
